mmsi,turnrate,shipLength,heading,course,cargo_type,lon,shipWidth,ship_name,speed,lat,postime,ship_status,callsign,destination,imo
413996284,0.0,0.0,511.0,237.0,未知,118.24097333333332,0.0,TENGFEI0516,4.7,31.28031,20241022102329,,,,
413847933,0.0,57.0,0.0,63.4,货轮,118.22147666666666,10.0,,0.0,31.27938,20241022102428,0.0,928ISB,,
413790501,0.0,64.0,48.0,48.9,货轮,118.22367833333334,11.0,WANXUANCHENGHUO8598,0.0,31.27985,20241022102430,,1338,SHANGHAI,0.0
413772082,0.0,0.0,83.0,83.2,未知,118.22644833333334,0.0,XINCHANGXING8888,4.2,31.29679,20241022102434,,,,
413996367,0.0,0.0,511.0,286.8,未知,118.283,0.0,WUHUHAILIAN1932,0.0,31.297556666666665,20241022102425,,,,
413834782,0.0,89.0,177.0,177.9,货轮,118.27834666666666,15.0,YIN TONG 1918,0.1,31.295696666666668,20241022102425,,0,22,33.0
413860116,0.0,68.0,511.0,0.0,货轮,118.28095666666668,14.0,,0.0,31.296278333333333,20241022102353,,,,
413868128,0.0,0.0,511.0,55.0,未知,118.186505,0.0,HUALING967,4.6,31.276865,20241022102406,0.0,,,
413828415,0.0,0.0,511.0,229.3,未知,118.17557333333332,0.0,WUHULIANSHUN79,5.4,31.281033333333333,20241022102410,,,,
413826319,0.0,90.0,511.0,66.7,货轮,118.21308,15.0,MINGSHENG0088,4.0,31.293413333333334,20241022102355,,,HAIMEN,0.0
413355690,0.0,98.0,511.0,0.0,货轮,118.200335,16.0,HUA YUAN 16,0.0,31.27077166666667,20241022102435,5.0,BOHW3,DI GANG,0.0
413833978,0.0,0.0,511.0,235.3,,118.194115,0.0,,0.0,31.274766666666668,20241022102408,,,,
413818093,0.0,95.0,235.0,235.2,货轮,118.19577,15.0,YUANYANG166,5.1,31.294298333333334,20241022102354,0.0,0000000,RUICHANG,0.0
413382170,0.0,121.0,263.0,85.2,货轮,118.21203333333334,20.0,CHANG XIANG HAI,0.6,31.277366666666666,20241022102355,5.0,BUUR,WUHU,0.0
412379440,0.0,116.0,511.0,100.0,货轮,118.20835833333334,18.0,JIANG XIA YUAN,0.0,31.273995,20241022102431,5.0,BUYK,WU HU,0.0
413593690,0.0,121.0,511.0,48.1,货轮,118.21104,20.0,CHANG WANG HAI,0.0,31.275321666666667,20241022102431,5.0,BUHF,QIANGJIAO,0.0
413879988,0.0,96.0,224.0,224.8,货轮,118.18319333333334,16.0,,4.5,31.281961666666668,20241022102332,,       ,,
413838494,0.0,105.0,511.0,220.7,油轮,118.14686666666668,16.0,SUXINHAI1,7.9,31.252026666666666,20241022102354,0.0,0,CHONGQING,0.0
413427000,0.0,135.0,251.0,27.9,货轮,118.19824166666666,23.0,GUO YU 10 HAO,0.0,31.277876666666668,20241022102416,1.0,BUET,DIGANG,0.0
413800774,0.0,100.0,12.0,0.0,货轮,118.19533333333334,17.0,HUASHENG 228,0.0,31.276966666666667,20241022102339,1.0,0000000,LIUTUSAN,0.0
413774738,0.0,0.0,149.0,149.8,未知,118.28829666666668,0.0,HUAYUAN96,0.1,31.297398333333334,20241022102341,,,,
413827607,0.0,117.0,511.0,360.0,货轮,118.284825,20.0,WU HU HAI LIAN 7988,0.0,31.29721,20241022102418,0.0,,FUCHI,0.0
413794195,0.0,0.0,232.0,232.7,,118.27061166666668,0.0,,5.5,31.294535,20241022102411,,,,
413826877,0.0,0.0,0.0,0.0,,118.26469166666666,0.0,,0.0,31.292135,20241022102338,,,,
413876485,0.0,0.0,511.0,360.0,,118.2628,0.0,,0.0,31.29159,20241022102406,1.0,,,
413964346,0.0,63.0,511.0,0.0,货轮,118.25848,12.0,,0.0,31.288676666666667,20241022102350,,,,
413859046,0.0,0.0,511.0,80.7,未知,118.26311,0.0,LONGHANG5111        ,0.0,31.29116,20241022102338,,,,
413864711,0.0,0.0,511.0,360.0,未知,118.261015,0.0,YU HANG CHAO YUE,0.0,31.290915,20241022102415,0.0,,,
413777478,0.0,98.0,511.0,253.6,货轮,118.24837166666669,15.0,LONXIN1128,5.1,31.283295,20241022102434,0.0,,WUHU,0.0
413829805,0.0,89.0,511.0,207.2,货轮,118.25437166666669,15.0,WU HU JIN HANG 1598,0.0,31.28609833333333,20241022102340,0.0,,HAIMEN,0.0
413958283,0.0,0.0,0.0,132.7,未知,118.2522,0.0,LIHANGJI1005,0.2,31.28502,20241022102342,,,,
413768067,0.0,72.0,511.0,238.8,货轮,118.26846666666668,13.0,,5.5,31.292776666666665,20241022102358,,0000,,
413802101,0.0,0.0,78.0,78.6,,118.267065,0.0,,0.0,31.29376333333333,20241022102413,,,,
413860704,0.0,67.0,511.0,0.0,货轮,118.26625666666666,15.0,,0.0,31.29386166666667,20241022102324,,,,
413824318,0.0,76.0,0.0,0.0,货轮,118.266925,13.0,,0.0,31.293938333333333,20241022102348,,TSTAISB,,
413826376,0.0,103.0,511.0,266.2,货轮,118.27112,18.0,HAN YUAN 618,4.5,31.30555,20241022102417,,,WUHU,0.0
413829899,0.0,68.0,85.0,85.5,货轮,118.27440333333334,12.0,,4.4,31.302355,20241022102328,,0,,
413795879,0.0,73.0,511.0,360.0,货轮,118.28359166666668,13.0,WANRENHE5688,4.4,31.307666666666663,20241022102336,15.0,,,0.0
413803321,0.0,88.0,511.0,262.7,货轮,118.26524,14.0,HUYU68,4.8,31.305983333333334,20241022102406,,,YANGZHOU,0.0
413792576,0.0,60.0,260.0,260.0,未知,118.26537166666668,10.0,WANSHUNXIN89,5.2,31.30626,20241022102408,0.0,0000000,YANCHENG,0.0
413827752,0.0,0.0,511.0,258.8,未知,118.27027,0.0,NINGYU1078,5.4,31.306071666666668,20241022102321,,,,
